ID_city;name;avg_TMAX
  255;Kempten (Allgäu);14,51068
  446;Pirmasens;15,14356
  567;Jena;16,85534
13745;Artern / Unstrut;16,04274
13795;Aue, Sachsen;15,32767
13869;Bad Bergzabern;16,40767
13948;Bad Lauchstädt;16,13918
13961;Bad Nauheim;16,43644
14200;Beerfelden, Odenwald;14,15205
14867;Braunlage;11,99123
15077;Buchen (Odenwald);15,28219
16901;Geisenheim;16,66384
16905;Geisingen (Baden);14,67288
16961;Geringswalde;15,18630
17021;Giengen an der Brenz;14,73342
17886;Harburg (Schwaben);14,55342
18953;Jeßnitz (Anhalt);16,41753
19345;Kitzingen;16,96247
19830;Kyritz;15,72740
20149;Lenzen (Elbe);15,74466
20287;Lingen (Ems);16,24301
20313;Bad Lobenstein;14,05594
20445;Lüchow (Wendland);15,90888
20592;Manderscheid, Eifel;14,03041
20611;Marienberg, Erzgebirge;12,75151
20893;Metzingen (Württemberg);16,50164
20912;Michelstadt;16,28192
21171;Müllheim (Baden);16,89945
21263;Nastätten;11,28562
21374;Neubulach;14,38658
21454;Neuhaus am Rennweg;10,88027
21784;Norderney;13,41918
21816;Nossen;15,03068
22074;Öhringen;16,38740
22191;Oschatz;16,17808
22697;Quedlinburg;16,07068
23061;Rheinfelden (Baden);17,05753
23098;Riedlingen (Württemberg);14,77836
23347;Rothenburg ob der Tauber;15,35671
23472;Sachsenheim (Württemberg);16,60822
23950;Schotten, Hessen;15,14740
24289;Simbach am Inn;15,74137
24302;Singen (Hohentwiel);15,64219
24371;Sontra;14,93260
25084;Treuen, Vogtland;14,30329
25121;Trostberg;14,65315
25513;Waghäusel;17,42164
25532;Waibstadt;16,00685
25660;Waltershausen;14,85014
25841;Weingarten (Württemberg);15,55370
26559;Zeitz, Elster;15,57041
